,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5242,2019-01-01,MOTHERSUMI,EQ,166.85,167.75,167.75,164.25,165.7,165.45,165.36,1687361,27902059890000.0,11541.0,294821.0,0.1747
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5243,2019-01-02,MOTHERSUMI,EQ,165.45,165.0,165.95,162.8,163.1,163.75,164.51,2466757,40581336755000.0,19392.0,769920.0,0.3121
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5244,2019-01-03,MOTHERSUMI,EQ,163.75,163.0,165.9,160.5,161.2,161.25,162.67,3667620,59662419654999.99,37269.0,1218349.0,0.3322
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5245,2019-01-04,MOTHERSUMI,EQ,161.25,161.5,165.35,157.6,158.4,158.65,160.9,6208836,99900005165000.0,41113.0,2030018.0,0.327
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5246,2019-01-07,MOTHERSUMI,EQ,158.65,160.25,161.1,156.1,156.35,157.1,158.3,3882717,61463738250000.0,30246.0,1578951.0,0.4067
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5247,2019-01-08,MOTHERSUMI,EQ,157.1,157.0,159.5,155.1,158.35,158.25,157.68,2886186,45510197055000.0,28096.0,972763.0,0.337
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5248,2019-01-09,MOTHERSUMI,EQ,158.25,158.9,162.4,158.15,161.6,161.95,160.92,5704804,91802589095000.0,47286.0,2654244.0,0.4653000000000001
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5249,2019-01-10,MOTHERSUMI,EQ,161.95,162.05,162.9,160.5,162.0,161.95,161.86,3423750,55416754910000.0,20857.0,1973283.0,0.5764
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5250,2019-01-11,MOTHERSUMI,EQ,161.95,162.0,163.45,159.5,161.1,161.2,161.7,3927095,63502488654999.99,36304.0,1994985.0,0.508
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5251,2019-01-14,MOTHERSUMI,EQ,161.2,161.2,162.3,158.5,162.0,161.75,160.3,1507439,24163640920000.0,22941.0,584434.0,0.3877
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5252,2019-01-15,MOTHERSUMI,EQ,161.75,161.9,161.9,157.6,160.2,160.7,159.6,3467870,55347679004999.99,33466.0,1084567.0,0.3127
